ID;FINCA;GRUPO;LABOR;MAESTRA;TARIFA;REF;PROMEDIADO;PRESTACIONES;FACTOR
100004;DON CARLOS;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG NORTE;41.449904;RACIMO CORTADO;G04;0.3887;1
100004;EVA NORTE;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG NORTE;41.449904;RACIMO CORTADO;G05;0.3887;1
100004;DON PEDRO;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG NORTE;41.449904;RACIMO CORTADO;G04;0.3887;1
100004;LA VELA;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG NORTE;41.449904;RACIMO CORTADO;G04;0.3887;1
100004;ESPERANZA;COSECHA;BOTADA DE VASTAGO X CONTRATO;ORG NORTE;41.449904;RACIMO CORTADO;G04;0.3887;1
100004;LINA MARGARITA;COSECHA;BOTADA DE VASTAGO X CONTRATO;PLAT;28.817136;RACIMO CORTADO;G04;0.3887;0
100004;DON MARCE;COSECHA;BOTADA DE VASTAGO X CONTRATO;PLAT;28.817136;RACIMO CORTADO;G04;0.3887;1
100005;ENANO;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;0.5
100005;EVA;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100005;SAMI;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100005;VEGA;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100005;FEDERICA;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;0.5
100005;NEERLANDIA;COSECHA;PICADA BASTAGO  X  CONTRATO;SG;38.35728;RACIMO CORTADO;G04;0.3887;1
100005;SAN ANTONIO;COSECHA;PICADA BASTAGO  X  CONTRATO;SG;38.35728;RACIMO CORTADO;G04;0.3887;1
100005;MRS;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;0.4
100005;DON FUAD;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;0.4
100005;EUFEMIA;COSECHA;PICADA BASTAGO  X  CONTRATO;EUF;38.35728;RACIMO CORTADO;G04;0.3887;1
100005;OLGA;COSECHA;PICADA BASTAGO  X  CONTRATO;EUF;38.35728;RACIMO CORTADO;G04;0.3887;0
100005;DON SAID;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
100005;ASUNTINA;COSECHA;PICADA BASTAGO  X  CONTRATO;CONT02;38.35728;RACIMO CORTADO;G04;0.3887;0
100005;PORLAMAR;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G05;0.3887;1
100005;EL MORRO;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;0
100005;LA PERLA;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;0
100005;ARACATACA;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G05;0.3887;1
100005;BOCATOMA;COSECHA;PICADA BASTAGO  X  CONTRATO;REG SUR;38.35728;RACIMO CORTADO;G04;0.3887;0
100005;JOYA;COSECHA;PICADA BASTAGO  X  CONTRATO;CONT01;0;RACIMO CORTADO;G04;0.3887;0
100005;ESMERALDA;COSECHA;PICADA BASTAGO  X  CONTRATO;CONT01;0;RACIMO CORTADO;G04;0.3887;0
100005;NARANJOS;COSECHA;PICADA BASTAGO  X  CONTRATO;CONT01;0;RACIMO CORTADO;G04;0.3887;0
100005;YUNQUE;COSECHA;PICADA BASTAGO  X  CONTRATO;CONT01;0;RACIMO CORTADO;G04;0.3887;0
100005;DONAMA;COSECHA;PICADA BASTAGO  X  CONTRATO;CONT01;0;RACIMO CORTADO;G04;0.3887;0
100005;BURDEOS;COSECHA;PICADA BASTAGO  X  CONTRATO;CONT01;0;RACIMO CORTADO;G04;0.3887;0
100005;DON MARCE SUR 2;COSECHA;PICADA BASTAGO  X  CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;0.4
100005;LAS MARGARITAS;COSECHA;PICADA BASTAGO  X  CONTRATO;ORG SUR;38.35728;RACIMO CORTADO;G04;0.3887;1
