FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL
DON SAID;107846682.89999999;107846682.89999999;107846682.89999999;107846682.89999999;107846682.89999999;107846682.89999999;107846682.89999999;107846682.89999999;107846682.89999999;107846682.89999999;107846682.89999999;107846682.89999999;1294160194.8000002
ASUNTINA;48750207.879999995;48750207.879999995;48750207.879999995;48750207.879999995;48750207.879999995;48750207.879999995;48750207.879999995;48750207.879999995;48750207.879999995;48750207.879999995;48750207.879999995;48750207.879999995;585002494.56
PORLAMAR;95922171.61999999;95922171.61999999;95922171.61999999;95922171.61999999;95922171.61999999;95922171.61999999;95922171.61999999;95922171.61999999;95922171.61999999;95922171.61999999;95922171.61999999;95922171.61999999;1151066059.4399998
EL MORRO;9469464.84;9469464.84;9469464.84;9469464.84;9469464.84;9469464.84;9469464.84;9469464.84;9469464.84;9469464.84;9469464.84;9469464.84;113633578.08000003
LA PERLA;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;10872348.52;130468182.23999996
ARACATACA;54186382.14;54186382.14;54186382.14;54186382.14;54186382.14;54186382.14;54186382.14;54186382.14;54186382.14;54186382.14;54186382.14;54186382.14;650236585.68
BOCATOMA;25602627.16;25602627.16;25602627.16;25602627.16;25602627.16;25602627.16;25602627.16;25602627.16;25602627.16;25602627.16;25602627.16;25602627.16;307231525.92
JOYA;44366196.379999995;44366196.379999995;44366196.379999995;44366196.379999995;44366196.379999995;44366196.379999995;44366196.379999995;44366196.379999995;44366196.379999995;44366196.379999995;44366196.379999995;44366196.379999995;532394356.55999994
ESMERALDA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NARANJOS;19289650.599999998;19289650.599999998;19289650.599999998;19289650.599999998;19289650.599999998;19289650.599999998;19289650.599999998;19289650.599999998;19289650.599999998;19289650.599999998;19289650.599999998;19289650.599999998;231475807.19999996
YUNQUE;12099871.74;12099871.74;12099871.74;12099871.74;12099871.74;12099871.74;12099871.74;12099871.74;12099871.74;12099871.74;12099871.74;12099871.74;145198460.87999997
DONAMA;26479429.459999997;26479429.459999997;26479429.459999997;26479429.459999997;26479429.459999997;26479429.459999997;26479429.459999997;26479429.459999997;26479429.459999997;26479429.459999997;26479429.459999997;26479429.459999997;317753153.52
BURDEOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DON MARCE SUR 2;12801313.58;12801313.58;12801313.58;12801313.58;12801313.58;12801313.58;12801313.58;12801313.58;12801313.58;12801313.58;12801313.58;12801313.58;153615762.96
LAS MARGARITAS;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;258832038.95999992
LA CECILIA;11223069.44;11223069.44;11223069.44;11223069.44;11223069.44;11223069.44;11223069.44;11223069.44;11223069.44;11223069.44;11223069.44;11223069.44;134676833.28
JOSEFINA;15080999.559999999;15080999.559999999;15080999.559999999;15080999.559999999;15080999.559999999;15080999.559999999;15080999.559999999;15080999.559999999;15080999.559999999;15080999.559999999;15080999.559999999;15080999.559999999;180971994.72
SAN ALFREDO;8943383.459999999;8943383.459999999;8943383.459999999;8943383.459999999;8943383.459999999;8943383.459999999;8943383.459999999;8943383.459999999;8943383.459999999;8943383.459999999;8943383.459999999;8943383.459999999;107320601.51999997
VICTORIA;35072092.0;35072092.0;35072092.0;35072092.0;35072092.0;35072092.0;35072092.0;35072092.0;35072092.0;35072092.0;35072092.0;35072092.0;420865104.0
CIRCASIA;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;21569336.58;258832038.95999992
