FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL
BOCATOMA;0.0;0.0;1755000.0;13870000.0;0.0;0.0;0.0;13870000.0;0.0;0.0;0.0;13870000.0;43365000.0
JOYA;0.0;0.0;1755000.0;24035000.0;0.0;0.0;0.0;24035000.0;0.0;0.0;0.0;24035000.0;73860000.0
ESMERALDA;0.0;0.0;1755000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1755000.0
NARANJOS;0.0;0.0;1755000.0;10450000.0;0.0;0.0;0.0;10450000.0;0.0;0.0;0.0;10450000.0;33105000.0
YUNQUE;0.0;0.0;1755000.0;6555000.0;0.0;0.0;0.0;6555000.0;0.0;0.0;0.0;6555000.0;21420000.0
DONAMA;0.0;0.0;1755000.0;14345000.0;0.0;0.0;0.0;14345000.0;0.0;0.0;0.0;14345000.0;44790000.0
BURDEOS;0.0;0.0;1755000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1755000.0
DON MARCE SUR 2;0.0;0.0;1755000.0;6935000.0;0.0;0.0;0.0;6935000.0;0.0;0.0;0.0;6935000.0;22560000.0
LAS MARGARITAS;0.0;0.0;1755000.0;11685000.0;0.0;0.0;0.0;11685000.0;0.0;0.0;0.0;11685000.0;36810000.0
LA CECILIA;0.0;0.0;1755000.0;6080000.0;0.0;0.0;0.0;6080000.0;0.0;0.0;0.0;6080000.0;19995000.0
