FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL;DETALLE
LA VELA;0.0;0.0;1755000.0;14630000.0;0.0;0.0;0.0;14250000.0;0.0;0.0;0.0;14250000.0;44885000.0;Dotaciones
ESPERANZA;0.0;0.0;1755000.0;14345000.0;0.0;0.0;0.0;12730000.0;0.0;0.0;0.0;12730000.0;41560000.0;Dotaciones
LINA MARGARITA;0.0;0.0;1755000.0;8550000.0;0.0;0.0;0.0;10640000.0;0.0;0.0;0.0;10640000.0;31585000.0;Dotaciones
DON MARCE;0.0;0.0;1755000.0;21565000.0;0.0;0.0;0.0;21565000.0;0.0;0.0;0.0;21565000.0;66450000.0;Dotaciones
ENANO;2288350.56;2288350.56;2860438.2;2288350.56;2288350.56;2860438.2;2338097.311304348;2922621.6391304354;2338097.311304348;2338097.311304348;2922621.6391304354;2338097.311304348;30071911.16347827;Hras capacitacion y recreacion
EVA;1660899.5999999999;1660899.5999999999;2076124.4999999998;1660899.5999999999;1660899.5999999999;2076124.4999999998;1697006.1130434782;2121257.6413043477;1697006.1130434782;1697006.1130434782;2121257.6413043477;1697006.1130434782;21826387.13478261;Hras capacitacion y recreacion
SAMI;2263744.6399999997;2349865.36;2968089.0999999996;2374471.28;2374471.28;2968089.0999999996;2426090.2208695654;3032612.7760869563;2426090.2208695654;2426090.2208695654;3032612.7760869563;2426090.2208695654;31068317.195652165;Hras capacitacion y recreacion
VEGA;922721.9999999999;922721.9999999999;1153402.4999999998;922721.9999999999;922721.9999999999;1153402.4999999998;942781.1739130435;1178476.4673913042;942781.1739130435;942781.1739130435;1178476.4673913042;942781.1739130435;12125770.630434781;Hras capacitacion y recreacion
FEDERICA;2669742.32;2620530.48;3244905.6999999993;2669742.32;2669742.32;3337177.9;2727780.196521739;3409725.245652174;2727780.196521739;2727780.196521739;3409725.245652174;2727780.196521739;34942412.317391306;Hras capacitacion y recreacion
NEERLANDIA;1771626.2399999998;1771626.2399999998;2214532.8;1771626.2399999998;1771626.2399999998;2214532.8;1810139.8539130434;2262674.8173913043;1810139.8539130434;1810139.8539130434;2262674.8173913043;1810139.8539130434;23281479.61043478;Hras capacitacion y recreacion
SAN ANTONIO;1931564.72;1931564.72;2414455.9;1931564.72;1931564.72;2414455.9;1973555.2573913045;2466944.0717391307;1973555.2573913045;1973555.2573913045;2466944.0717391307;1973555.2573913045;25383279.853043474;Hras capacitacion y recreacion
MRS;1094963.44;910419.0399999999;953479.3999999999;762783.5199999999;762783.5199999999;953479.3999999999;779365.7704347826;974207.2130434782;779365.7704347826;779365.7704347826;974207.2130434782;779365.7704347826;10503785.827826086;Hras capacitacion y recreacion
DON FUAD;2386774.2399999998;2386774.2399999998;2983467.8;2386774.2399999998;2386774.2399999998;2983467.8;2438660.636521739;3048325.795652174;2438660.636521739;2438660.636521739;3048325.795652174;2438660.636521739;31365326.697391298;Hras capacitacion y recreacion
EUFEMIA;3764705.76;3764705.76;4705882.199999999;3764705.76;3690887.9999999995;4505959.1;3683131.7860869565;4603914.7326086955;3683131.7860869565;3683131.7860869565;4603914.7326086955;3683131.7860869565;48137203.18956521;Hras capacitacion y recreacion
OLGA;652056.88;652056.88;815071.1;652056.88;652056.88;815071.1;666232.0295652174;832790.0369565218;666232.0295652174;666232.0295652174;832790.0369565218;666232.0295652174;8568877.912173914;Hras capacitacion y recreacion
DON SAID;7566320.399999999;7566320.399999999;9457900.5;7566320.399999999;7566320.399999999;9457900.5;7730805.626086957;9663507.032608697;7730805.626086957;7730805.626086957;9663507.032608697;7730805.626086957;99431319.1695652;Hras capacitacion y recreacion
ASUNTINA;3420222.88;3420222.88;4275278.6;3420222.88;3420222.88;4275278.6;3494575.551304348;4368219.439130435;3494575.551304348;3494575.551304348;4368219.439130435;3494575.551304348;44946189.803478256;Hras capacitacion y recreacion
